iter	Passed	Remaining
0	1	184
1	3	188
2	5	163
3	6	144
4	7	134
5	8	134
6	9	126
7	11	129
8	13	133
9	14	132
10	16	136
11	18	135
12	20	133
13	21	133
14	22	129
15	23	124
16	26	129
17	28	128
18	29	127
19	31	126
20	32	123
21	34	121
22	35	118
23	36	116
24	38	114
25	39	112
26	41	112
27	43	112
28	46	114
29	48	112
30	49	110
31	50	108
32	52	107
33	53	104
34	55	103
35	57	101
36	59	100
37	61	100
38	63	98
39	64	97
40	66	95
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	83	80
51	85	78
52	86	76
53	87	74
54	88	72
55	89	70
56	91	69
57	93	68
58	96	67
59	97	65
60	98	63
61	99	61
62	100	59
63	101	57
64	102	55
65	105	54
66	107	52
67	108	51
68	110	49
69	112	48
70	113	46
71	114	44
72	115	42
73	116	41
74	118	39
75	121	38
76	123	36
77	125	35
78	126	33
79	127	31
80	128	30
81	129	28
82	130	26
83	131	25
84	133	23
85	135	22
86	137	20
87	139	19
88	140	17
89	141	15
90	142	14
91	143	12
92	145	10
93	147	9
94	149	7
95	151	6
96	153	4
97	154	3
98	155	1
99	156	0
